Players,Team,Type,Base,Sold
Nuwan Thushara,Royal Challengers Bengaluru,BOWL,0.75,1.6
Jaydev Unadkat,Sunrisers Hyderabad,BOWL,1,1
Sachin Baby,Sunrisers Hyderabad,BAT,0.3,0.3
Harnoor Singh,Punjab Kings,BAT,0.3,0.3
C Andre Siddarth,Chennai Super Kings,BAT,0.3,0.3
Yudhvir Singh,Rajasthan Royals,AR,0.3,0.35
Rajvardhan Hangargekar,Lucknow Super Giants,AR,0.3,0.3
Arshin Kulkarni,Lucknow Super Giants,AR,0.3,0.3
Ashwani Kumar,Mumbai Indians,BOWL,0.3,0.3
Akash Singh,Lucknow Super Giants,BOWL,0.3,0.3
Gurjapneet Singh,Chennai Super Kings,BOWL,0.3,2.2
Matthew Breetzke,Lucknow Super Giants,BAT,0.75,0.75
Mumbai Indianstchell Santner,Mumbai Indians,AR,2,2
Jayant Yadav,Gujarat Titans,AR,0.75,0.75
Fazalhaq Farooqi,Rajasthan Royals,BOWL,2,2
Kwena Maphaka,Rajasthan Royals,BOWL,0.75,1.5
Kuldeep Sen,Punjab Kings,BOWL,0.75,0.8
Reece Topley,Mumbai Indians,BOWL,0.75,0.75
Lizaad Williams,Mumbai Indians,BOWL,0.75,0.75
Priyansh Arya,Punjab Kings,AR,0.3,3.8
Manoj Bhandage,Royal Challengers Bengaluru,AR,0.3,0.3
Praveen Dubey,Punjab Kings,AR,0.3,0.3
Ajay Mandal,Delhi Capitals,AR,0.3,0.3
Vipraj Nigam,Delhi Capitals,AR,0.3,0.5
Krishnan Shrijith,Mumbai Indians,BAT,0.3,0.3
Mohit Rathee,Royal Challengers Bengaluru,BOWL,0.3,0.3
Jacob Bethell,Royal Challengers Bengaluru,AR,1.25,2.6
Brydon Carse,Sunrisers Hyderabad,AR,1,1
Aaron Hardie,Punjab Kings,AR,1.25,1.25
KaMumbai Indiansndu Mendis,Sunrisers Hyderabad,AR,0.75,0.75
Dushmantha Chameera,Delhi Capitals,BOWL,0.75,0.75
Nathan Ellis,Chennai Super Kings,BOWL,1.25,2
Shamar Joseph,Lucknow Super Giants,BOWL,0.75,0.75
Aniket Verma,Sunrisers Hyderabad,BAT,0.3,0.3
Raj Bawa,Mumbai Indians,AR,0.3,0.3
Musheer Khan,Punjab Kings,AR,0.3,0.3
Manvanth Kumar,Delhi Capitals,AR,0.3,0.3
Suryansh Shedge,Punjab Kings,AR,0.3,0.3
Kulwant Khejroliya,Gujarat Titans,BOWL,0.3,0.3
Prince Yadav,Lucknow Super Giants,BOWL,0.3,0.3
JaMumbai Indianse Overton,Chennai Super Kings,AR,1.5,1.5
Xavier Bartlett,Punjab Kings,BOWL,0.75,0.8
Lungi Ngidi,Royal Challengers Bengaluru,BOWL,1,1
Yuvraj Chaudhary,Lucknow Super Giants,AR,0.3,Unsold
Kamlesh Nagarkoti,Chennai Super Kings,AR,0.3,0.3
Abhinandan Singh,Royal Challengers Bengaluru,BOWL,0.3,0.3
Karim Janat,Gujarat Titans,AR,0.75,0.75
Pyla Avinash,Punjab Kings,BAT,0.3,0.3
Ramakrishna Ghosh,Chennai Super Kings,AR,0.3,0.3
Satyanarayana Raju,Mumbai Indians,BOWL,0.3,0.3
Bevon Jacobs,Mumbai Indians,BAT,0.3,0.3
Ashok Sharma,Rajasthan Royals,BOWL,0.3,0.3
Vaibhav Suryavanshi,Rajasthan Royals,BAT,0.3,1.1
Eshan Malinga,Sunrisers Hyderabad,BOWL,0.3,1.2
Tripurana Vijay,Delhi Capitals,AR,0.3,0.3
Madhav Tiwari,Delhi Capitals,AR,0.3,0.4
Vignesh Puthur,Mumbai Indians,AR,0.3,0.3
Jofra Archer,Rajasthan Royals,BOWL,2,12.5
